id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
5605,-17659743,537903030,231247,2022,11,14,16,22,41
5606,-17659756,537903043,231304,2022,11,14,16,22,42
5607,-17659772,537903056,231398,2022,11,14,16,22,43
5608,-17659791,537903068,231508,2022,11,14,16,22,44
5609,-17659804,537903080,231602,2022,11,14,16,22,45
5610,-17659824,537903090,231760,2022,11,14,16,22,46
5611,-17659849,537903097,231907,2022,11,14,16,22,47
5612,-17659858,537903109,231969,2022,11,14,16,22,48
5613,-17659864,537903121,232006,2022,11,14,16,22,49
5614,-17659882,537903123,232180,2022,11,14,16,22,50
5615,-17659894,537903130,232243,2022,11,14,16,22,51
5616,-17659908,537903138,232339,2022,11,14,16,22,52
5617,-17659922,537903147,232425,2022,11,14,16,22,53
5618,-17659934,537903153,232509,2022,11,14,16,22,54
5619,-17659941,537903164,232528,2022,11,14,16,22,55
5620,-17659948,537903172,232545,2022,11,14,16,22,56
5621,-17659948,537903183,232489,2022,11,14,16,22,57
5622,-17659946,537903192,232480,2022,11,14,16,22,58
5623,-17659951,537903197,232521,2022,11,14,16,22,59
5624,-17659949,537903204,232517,2022,11,14,16,23,0
5625,-17659926,537903220,232320,2022,11,14,16,23,1
5626,-17659895,537903236,232131,2022,11,14,16,23,2
5627,-17659871,537903248,232007,2022,11,14,16,23,3
5628,-17659848,537903259,231862,2022,11,14,16,23,4
5629,-17659827,537903267,231750,2022,11,14,16,23,5
5630,-17659807,537903273,231642,2022,11,14,16,23,6
5631,-17659787,537903279,231520,2022,11,14,16,23,7
5632,-17659770,537903285,231400,2022,11,14,16,23,8
5633,-17659759,537903289,231348,2022,11,14,16,23,9
5634,-17659749,537903292,231264,2022,11,14,16,23,10
5635,-17659747,537903292,231188,2022,11,14,16,23,11
5636,-17659747,537903291,231132,2022,11,14,16,23,12
5637,-17659748,537903286,231090,2022,11,14,16,23,13
5638,-17659743,537903287,230996,2022,11,14,16,23,14
5639,-17659738,537903288,230893,2022,11,14,16,23,15
5640,-17659732,537903289,230799,2022,11,14,16,23,16
5641,-17659738,537903285,230815,2022,11,14,16,23,17
5642,-17659735,537903284,230775,2022,11,14,16,23,18
5643,-17659730,537903281,230741,2022,11,14,16,23,19
5644,-17659724,537903282,230673,2022,11,14,16,23,20
5645,-17659722,537903280,230672,2022,11,14,16,23,21
5646,-17659722,537903279,230637,2022,11,14,16,23,22
5647,-17659721,537903281,230591,2022,11,14,16,23,23
5648,-17659719,537903285,230533,2022,11,14,16,23,24
5649,-17659727,537903282,230568,2022,11,14,16,23,25
5650,-17659740,537903276,230657,2022,11,14,16,23,26
5651,-17659761,537903266,230817,2022,11,14,16,23,27
5652,-17659784,537903251,231021,2022,11,14,16,23,28
5653,-17659804,537903236,231269,2022,11,14,16,23,29
5654,-17659821,537903222,231462,2022,11,14,16,23,30
5655,-17659834,537903208,231643,2022,11,14,16,23,31
5656,-17659842,537903196,231791,2022,11,14,16,23,32
5657,-17659850,537903184,231944,2022,11,14,16,23,33
5658,-17659858,537903173,232036,2022,11,14,16,23,34
5659,-17659866,537903163,232157,2022,11,14,16,23,35
5660,-17659873,537903153,232279,2022,11,14,16,23,36
5661,-17659882,537903145,232384,2022,11,14,16,23,37
5662,-17659891,537903139,232484,2022,11,14,16,23,38
5663,-17659902,537903135,232535,2022,11,14,16,23,39
5664,-17659926,537903130,232659,2022,11,14,16,23,41
5665,-17659946,537903129,232704,2022,11,14,16,23,43
5666,-17659958,537903135,232722,2022,11,14,16,23,44
5667,-17659994,537903168,232756,2022,11,14,16,23,47
5668,-17660007,537903178,232782,2022,11,14,16,23,48
5669,-17660018,537903191,232841,2022,11,14,16,23,49
5670,-17660025,537903206,232911,2022,11,14,16,23,50
5671,-17660033,537903222,232927,2022,11,14,16,23,51
5672,-17660044,537903236,232997,2022,11,14,16,23,52
5673,-17660052,537903239,233052,2022,11,14,16,23,53
5674,-17660062,537903252,233160,2022,11,14,16,23,54
5675,-17660078,537903259,233338,2022,11,14,16,23,55
5676,-17660094,537903262,233472,2022,11,14,16,23,56
5677,-17660108,537903265,233559,2022,11,14,16,23,57
5678,-17660122,537903269,233651,2022,11,14,16,23,58
